agency_id,route_id,route_short_name,route_long_name,route_type
SKY:Authority:SKY,SKY:Line:474,474,Herdlevær - Blomvåg - Ågotnes,704
SKY:Authority:SKY,SKY:Line:475,475,Blomvåg - Straume - Sund,704
SKY:Authority:SKY,SKY:Line:479,479,Hellesøy - Ågotnes,704
SKY:Authority:SKY,SKY:Line:48,48,Oasen - Løtveit,704
SKY:Authority:SKY,SKY:Line:480,480,Skoleturer Askøy,704
SKY:Authority:SKY,SKY:Line:481,481,Kleppestø terminal - Bergen busstasjon,704
SKY:Authority:SKY,SKY:Line:482,482,Øvre Florvåg - Kleppestø,704
SKY:Authority:SKY,SKY:Line:483,483,Øen - Kleppestø,704
SKY:Authority:SKY,SKY:Line:484,484,Steinrusten - Kleppestø - Bergen busstasjon,704
SKY:Authority:SKY,SKY:Line:485,485,Ravnanger - Hanevik - Kleppestø - Bergen busstasjo,704
SKY:Authority:SKY,SKY:Line:49,49,Skoleturer Bergen Sentrum,704
SKY:Authority:SKY,SKY:Line:490,490,Marikoven - Kleppestø,704
SKY:Authority:SKY,SKY:Line:491,491,Hetlevik - Kleppestø,704
SKY:Authority:SKY,SKY:Line:493,493,Krokåsfeltet - Øvre Kleppe - Kleppestø,704
SKY:Authority:SKY,SKY:Line:495,495,Ramsøy - Ravnanger - Bergen busstasjon,704
SKY:Authority:SKY,SKY:Line:496,496,Breivik-Ravnanger-Kleppestø,704
SKY:Authority:SKY,SKY:Line:497,497,Heggernes - Berland - Ravnanger - Kleppestø,704
SKY:Authority:SKY,SKY:Line:499,499,Herdla - Bergen busstasjon,704
SKY:Authority:SKY,SKY:Line:4E,4E,Flaktveit - sentrum,704
SKY:Authority:SKY,SKY:Line:5,5,Sletten - Fyllingsdalen terminal,704
SKY:Authority:SKY,SKY:Line:50E,50E,Birkelandsskiftet - Sandsli - Busstasjonen,704
SKY:Authority:SKY,SKY:Line:51,51,Birkelandsskiftet - Kokstad - Fjøsanger - Sentrum,704
SKY:Authority:SKY,SKY:Line:52,52,Grimstad - Dolvik - Sandsli - Lagunen,704
SKY:Authority:SKY,SKY:Line:53,53,Milde - Hjellestad - Birkelandsskiftet,704
SKY:Authority:SKY,SKY:Line:530,530,Våge-Bekkjarvik-Husavik-Hufthamar-Bergen,704
SKY:Authority:SKY,SKY:Line:531,531,Drøna-Kolbeinsvik-Eido-Storebø,704
SKY:Authority:SKY,SKY:Line:532,532,Kalve - Storebø - Eidsbøen,704
SKY:Authority:SKY,SKY:Line:552,552,Svortland-Langevåg,704
SKY:Authority:SKY,SKY:Line:554,554,Mosterhavn-Totland-Gassasundet,704
SKY:Authority:SKY,SKY:Line:555,555,Svortland - Rundt Storavatnet - Svortland,704
SKY:Authority:SKY,SKY:Line:556,556,Svortland-Alvsv-Mæland-Ekorns.,704
SKY:Authority:SKY,SKY:Line:558,558,Svortland-Urangsvåg-Brandasund,704
SKY:Authority:SKY,SKY:Line:559,559,Svortland-Rubbestadsneset-Rolfsnes,704
SKY:Authority:SKY,SKY:Line:56,56,Espeland - Birkelandsskiftet,704
SKY:Authority:SKY,SKY:Line:57,57,Flesland - Birkelandsskiftet,704
SKY:Authority:SKY,SKY:Line:6,6,Birkelundstoppen-Lyngbø,704
SKY:Authority:SKY,SKY:Line:60,60,Fanahammeren - Lagunen,704
