from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:99593,SKY:ServiceJourney:26-179876-16769513,NSR:Quay:53418,SKY:ServiceJourney:34-179876-16769289,1
NSR:Quay:56538,SKY:ServiceJourney:496-178712-17093031,NSR:Quay:56538,SKY:ServiceJourney:495-178712-17093047,1
NSR:Quay:54030,SKY:ServiceJourney:925-180708-16406742,NSR:Quay:54030,SKY:ServiceJourney:925-180708-16406743,1
NSR:Quay:54056,SKY:ServiceJourney:990-180704-16407127,NSR:Quay:54056,SKY:ServiceJourney:945-180704-17157178,1
NSR:Quay:52078,SKY:ServiceJourney:479-178551-17093348,NSR:Quay:52077,SKY:ServiceJourney:460-178551-17092805,1
NSR:Quay:55121,SKY:ServiceJourney:499-178712-17093003,NSR:Quay:55121,SKY:ServiceJourney:441-178712-17087127,1
NSR:Quay:51228,SKY:ServiceJourney:445-180505-17087204,NSR:Quay:51228,SKY:ServiceJourney:448-180505-17087859,1
NSR:Quay:53044,SKY:ServiceJourney:493-180509-17087579,NSR:Quay:53043,SKY:ServiceJourney:495-180509-17087485,1
NSR:Quay:58351,SKY:ServiceJourney:310-178194-16975416,NSR:Quay:58351,SKY:ServiceJourney:311-178194-16817553,1
NSR:Quay:52938,SKY:ServiceJourney:631-180240-16409981,NSR:Quay:52938,SKY:ServiceJourney:700-180240-16410285,1
NSR:Quay:58351,SKY:ServiceJourney:312-178191-16974175,NSR:Quay:58351,SKY:ServiceJourney:310-178191-16974191,1
NSR:Quay:53541,SKY:ServiceJourney:991-178237-16985794,NSR:Quay:53541,SKY:ServiceJourney:990-178237-16407103,1
NSR:Quay:52078,SKY:ServiceJourney:471-180507-17086702,NSR:Quay:52077,SKY:ServiceJourney:460-180507-17087016,1
NSR:Quay:53046,SKY:ServiceJourney:483-178712-17087702,NSR:Quay:53043,SKY:ServiceJourney:484-178712-17087797,1
NSR:Quay:103465,SKY:ServiceJourney:965-176164-16429184,NSR:Quay:103465,SKY:ServiceJourney:965-176164-16429185,1
NSR:Quay:52077,SKY:ServiceJourney:460-178511-17092634,NSR:Quay:52078,SKY:ServiceJourney:479-178511-17092462,1
NSR:Quay:51886,SKY:ServiceJourney:50E-179602-16004726,NSR:Quay:51886,SKY:ServiceJourney:53-179602-16004988,1
NSR:Quay:58338,SKY:ServiceJourney:310-179281-15985429,NSR:Quay:58338,SKY:ServiceJourney:300-179281-17160956,1
NSR:Quay:58338,SKY:ServiceJourney:310-178191-16974208,NSR:Quay:58338,SKY:ServiceJourney:300-178191-16973961,1
NSR:Quay:56538,SKY:ServiceJourney:496-180505-17087621,NSR:Quay:56538,SKY:ServiceJourney:495-180505-17087417,1
NSR:Quay:49982,SKY:ServiceJourney:62-178162-16973120,NSR:Quay:49982,SKY:ServiceJourney:601-178162-16972922,1
NSR:Quay:53043,SKY:ServiceJourney:484-178551-17087819,NSR:Quay:53043,SKY:ServiceJourney:495-178551-17093089,1
NSR:Quay:57612,SKY:ServiceJourney:900-179815-17268320,NSR:Quay:57612,SKY:ServiceJourney:901-179815-17268285,1
NSR:Quay:50561,SKY:ServiceJourney:459-180507-17087300,NSR:Quay:50567,SKY:ServiceJourney:450-180507-17087266,1
NSR:Quay:51229,SKY:ServiceJourney:465-178712-17093277,NSR:Quay:51230,SKY:ServiceJourney:450-178712-17092904,1
NSR:Quay:57701,SKY:ServiceJourney:930-178245-16406787,NSR:Quay:57701,SKY:ServiceJourney:925-178245-16406769,1
NSR:Quay:55811,SKY:ServiceJourney:321-179219-17155641,NSR:Quay:55811,SKY:ServiceJourney:320-179219-17155825,1
NSR:Quay:50561,SKY:ServiceJourney:458-180501-17087719,NSR:Quay:50567,SKY:ServiceJourney:450-180501-17087220,1
NSR:Quay:51229,SKY:ServiceJourney:442-180479-17340400,NSR:Quay:51230,SKY:ServiceJourney:460-180479-17340032,1
NSR:Quay:51229,SKY:ServiceJourney:465-178712-17093276,NSR:Quay:51230,SKY:ServiceJourney:460-178712-17092866,1
NSR:Quay:49625,SKY:ServiceJourney:600-180550-17137076,NSR:Quay:49626,SKY:ServiceJourney:603-180550-17138367,1
NSR:Quay:103637,SKY:ServiceJourney:620-180240-16409959,NSR:Quay:103636,SKY:ServiceJourney:552-180240-16409797,1
NSR:Quay:50561,SKY:ServiceJourney:450-180503-17087262,NSR:Quay:108893,SKY:ServiceJourney:459-180503-17087305,1
NSR:Quay:99593,SKY:ServiceJourney:37-177318-16771947,NSR:Quay:53415,SKY:ServiceJourney:27-177318-16772386,1
NSR:Quay:58003,SKY:ServiceJourney:910-179645-17244804,NSR:Quay:58003,SKY:ServiceJourney:910-179645-17244797,1
NSR:Quay:58846,SKY:ServiceJourney:930-176109-16428069,NSR:Quay:58846,SKY:ServiceJourney:934-176109-17139429,1
NSR:Quay:58003,SKY:ServiceJourney:910-179862-17274364,NSR:Quay:58003,SKY:ServiceJourney:910-179862-17274365,1
NSR:Quay:52078,SKY:ServiceJourney:471-178551-17092967,NSR:Quay:52077,SKY:ServiceJourney:460E-178551-17087604,1
NSR:Quay:52077,SKY:ServiceJourney:460-178712-17092812,NSR:Quay:52078,SKY:ServiceJourney:471-178712-17092964,1
